id;pisco;data;mes;NOM_EST;COD_EST;COD_PISCO
316;34.63653183;33.6;1/04/2007;ANANEA;X114050;1
317;16.61612511;16.3;1/05/2007;ANANEA;X114050;1
318;0.232413173;;1/06/2007;ANANEA;X114050;1
319;6.69146347;7.1;1/07/2007;ANANEA;X114050;1
320;0.308757961;;1/08/2007;ANANEA;X114050;1
321;17.99743271;14.7;1/09/2007;ANANEA;X114050;1
322;35.86972046;39.7;1/10/2007;ANANEA;X114050;1
323;61.8050766;61;1/11/2007;ANANEA;X114050;1
324;82.05001831;89.6;1/12/2007;ANANEA;X114050;1
325;157.1745758;168.2;1/01/2008;ANANEA;X114050;1
326;67.14808655;62.7;1/02/2008;ANANEA;X114050;1
327;57.85224152;60.3;1/03/2008;ANANEA;X114050;1
328;30.03196335;40.6;1/04/2008;ANANEA;X114050;1
329;20.48538399;24.7;1/05/2008;ANANEA;X114050;1
330;2.887546539;2.8;1/06/2008;ANANEA;X114050;1
331;1.886976123;1.8;1/07/2008;ANANEA;X114050;1
332;6.878764629;7.7;1/08/2008;ANANEA;X114050;1
333;9.441054344;7.1;1/09/2008;ANANEA;X114050;1
334;53.59028244;48.3;1/10/2008;ANANEA;X114050;1
335;53.19176102;56;1/11/2008;ANANEA;X114050;1
336;119.9718018;133.7;1/12/2008;ANANEA;X114050;1
337;125.5363922;133.3;1/01/2009;ANANEA;X114050;1
338;83.00370789;79.9;1/02/2009;ANANEA;X114050;1
339;64.83155823;61.9;1/03/2009;ANANEA;X114050;1
340;44.35377884;52.6;1/04/2009;ANANEA;X114050;1
341;16.32341385;17.6;1/05/2009;ANANEA;X114050;1
342;0.210304633;;1/06/2009;ANANEA;X114050;1
343;0.926788926;;1/07/2009;ANANEA;X114050;1
344;0.390683174;;1/08/2009;ANANEA;X114050;1
345;16.42151833;16.6;1/09/2009;ANANEA;X114050;1
346;26.84197044;26.8;1/10/2009;ANANEA;X114050;1
347;112.0375519;125.3;1/11/2009;ANANEA;X114050;1
348;87.85323334;98.5;1/12/2009;ANANEA;X114050;1
349;118.9694901;112.2;1/01/2010;ANANEA;X114050;1
350;101.0906601;95;1/02/2010;ANANEA;X114050;1
351;54.01068497;103.2;1/03/2010;ANANEA;X114050;1
352;23.30343819;22.6;1/04/2010;ANANEA;X114050;1
353;15.90071583;14.4;1/05/2010;ANANEA;X114050;1
354;0.340570897;;1/06/2010;ANANEA;X114050;1
355;3.658495903;6;1/07/2010;ANANEA;X114050;1
356;0.558906615;;1/08/2010;ANANEA;X114050;1
357;2.954652309;2.4;1/09/2010;ANANEA;X114050;1
358;36.68729782;38.4;1/10/2010;ANANEA;X114050;1
359;41.65306854;40.4;1/11/2010;ANANEA;X114050;1
360;89.80317688;90.9;1/12/2010;ANANEA;X114050;1
361;88.83155823;98.1;1/01/2011;ANANEA;X114050;1
362;110.0445633;107.7;1/02/2011;ANANEA;X114050;1
363;71.77900696;142.3;1/03/2011;ANANEA;X114050;1
364;29.33131599;28.5;1/04/2011;ANANEA;X114050;1
365;1.143801212;;1/05/2011;ANANEA;X114050;1
366;7.99559021;10.1;1/06/2011;ANANEA;X114050;1
367;3.125640392;1.7;1/07/2011;ANANEA;X114050;1
368;5.59797287;4.8;1/08/2011;ANANEA;X114050;1
369;63.22340012;67.9;1/09/2011;ANANEA;X114050;1
370;59.12091064;59.2;1/10/2011;ANANEA;X114050;1
371;17.78960609;14.4;1/11/2011;ANANEA;X114050;1
372;102.5409775;101.1;1/12/2011;ANANEA;X114050;1
373;80.60565948;76.3;1/01/2012;ANANEA;X114050;1
374;109.9386826;106.5;1/02/2012;ANANEA;X114050;1
375;80.86194611;84.5;1/03/2012;ANANEA;X114050;1
376;87.78123474;86.1;1/04/2012;ANANEA;X114050;1
377;5.276759148;4.8;1/05/2012;ANANEA;X114050;1
378;7.395871639;9;1/06/2012;ANANEA;X114050;1
379;6.330281734;6.8;1/07/2012;ANANEA;X114050;1
380;0.366467804;0.2;1/08/2012;ANANEA;X114050;1
